gene_id	gene_name	sample1	sample2	fold_change	direction	total_fpkm	q-value	gene_description
CGI_10001497	.	Pre	Post	77.42	DOWN	1788.70	0.00215	
XLOC_023037	-	Pre	Post	76.78	UP	17.45	0.0341942	
CGI_10004639	.	Pre	Post	75.94	DOWN	15.21	0.355785	
CGI_10008601	.	Pre	Post	74.70	UP	6.18	0.722278	
XLOC_024167	-	Pre	Post	70.77	DOWN	4.48	0.510475	
CGI_10004748	.	Pre	Post	70.14	UP	8.06	0.377352	
XLOC_026709	-	Pre	Post	69.35	DOWN	15.66	0.706217	
CGI_10010280	.	Pre	Post	69.26	DOWN	4.22	0.497373	
CGI_10005650	.	Pre	Post	67.71	DOWN	197.08	0.00215	
CGI_10008746	.	Pre	Post	66.75	DOWN	5.47	0.510475	
XLOC_008849	CGI_10004164	Pre	Post	65.95	UP	754.65	0.118426	
XLOC_026712	-	Pre	Post	65.10	DOWN	4.59	0.74768	
CGI_10002386	.	Pre	Post	64.80	UP	3.11	0.412501	
XLOC_008349	-	Pre	Post	64.72	UP	20.70	0.443983	
CGI_10026803	.	Pre	Post	63.02	UP	262.34	0.00215	
CGI_10000184	.	Pre	Post	61.49	UP	13.68	0.517999	
CGI_10006565	.	Pre	Post	61.13	UP	28.20	0.0716286	
XLOC_020296	-	Pre	Post	59.33	UP	10.20	0.429494	
CGI_10009703	.	Pre	Post	58.37	DOWN	28.96	0.381969	
XLOC_014353	CGI_10012887	Pre	Post	58.34	DOWN	2.03	0.470949	
CGI_10017043	.	Pre	Post	57.73	UP	653.08	0.00215	
CGI_10022998	.	Pre	Post	57.64	DOWN	3.09	0.555979	
XLOC_020733	-	Pre	Post	56.55	DOWN	3.77	0.539735	
XLOC_024747	-	Pre	Post	56.03	DOWN	1.82	0.381969	
XLOC_027354	-	Pre	Post	55.11	DOWN	1.49	0.381969	
XLOC_020561	-	Pre	Post	55.10	UP	27.20	0.517999	
CGI_10024833	.	Pre	Post	54.64	UP	5.97	0.205127	
XLOC_002875	-	Pre	Post	53.97	UP	4.23	0.648501	
XLOC_015688	-	Pre	Post	52.47	DOWN	187.67	0.381969	
XLOC_030839	-	Pre	Post	52.43	UP	8.69	0.414315	
XLOC_018154	-	Pre	Post	52.11	DOWN	1.89	0.515359	
CGI_10022617	.	Pre	Post	51.43	DOWN	27.03	0.402459	
XLOC_008181	-	Pre	Post	51.16	UP	3.68	0.429494	
XLOC_027867	-	Pre	Post	50.14	UP	1.49	0.377352	
EMCGIG00000000270	ACEA_U3	Pre	Post	50.13	UP	580.58	0.0352832	
CGI_10003924	.	Pre	Post	50.08	UP	9.57	0.0131324	
XLOC_035091	-	Pre	Post	49.75	DOWN	3.20	0.639058	
XLOC_002632	-	Pre	Post	49.71	DOWN	4.87	0.381969	
XLOC_002444	-	Pre	Post	48.45	DOWN	3.28	0.152171	
XLOC_028052	-	Pre	Post	48.38	DOWN	12.93	0.442703	
XLOC_028526	-	Pre	Post	47.36	UP	7.54	0.414315	
CGI_10002595	.	Pre	Post	47.25	DOWN	14.43	0.0652423	
CGI_10002529	.	Pre	Post	46.82	UP	3271.48	0.0199867	
CGI_10006564	.	Pre	Post	46.79	UP	3.33	0.405761	
CGI_10010025	.	Pre	Post	46.50	UP	4.27	0.377597	
XLOC_008311	-	Pre	Post	46.42	UP	3.66	0.254811	
XLOC_012709	-	Pre	Post	46.17	UP	2.65	0.377597	
XLOC_019785	CGI_10002411	Pre	Post	46.03	UP	30.15	0.559404	
CGI_10003613	.	Pre	Post	45.97	UP	20.48	0.0149661	
XLOC_023579	-	Pre	Post	44.58	DOWN	212.32	0.503542	
XLOC_032464	-	Pre	Post	44.51	DOWN	1.50	0.381969	
XLOC_007471	-	Pre	Post	44.48	UP	35.01	0.37859	
XLOC_001962	-	Pre	Post	44.33	UP	2539.68	0.206114	
XLOC_000497	-	Pre	Post	44.22	UP	25.05	0.39257	
XLOC_031374	-	Pre	Post	44.22	DOWN	4.43	0.381969	
CGI_10002323	.	Pre	Post	44.07	UP	125.97	0.321419	
XLOC_022184	-	Pre	Post	44.05	UP	14.90	0.24358	
XLOC_030754	CGI_10021122	Pre	Post	44.03	UP	5.73	0.541724	
CGI_10014928	.	Pre	Post	43.58	DOWN	44.51	0.00215	
XLOC_009511	-	Pre	Post	43.42	UP	2.99	0.517999	
XLOC_016839	-	Pre	Post	43.16	DOWN	3.41	0.381969	
CGI_10000562	.	Pre	Post	42.85	DOWN	11.12	0.486221	
CGI_10004165	.	Pre	Post	42.58	UP	277.03	0.23513	
CGI_10010395	.	Pre	Post	42.49	UP	3.35	0.517638	
XLOC_007713	-	Pre	Post	41.65	UP	1.42	0.429494	
XLOC_004501	-	Pre	Post	41.64	UP	5.26	0.547088	
XLOC_030192	-	Pre	Post	41.61	UP	2.23	0.541781	
CGI_10019606	.	Pre	Post	41.51	DOWN	5143.24	0.00215	
CGI_10008036	.	Pre	Post	41.49	DOWN	21.49	0.268809	
XLOC_022706	CGI_10005059	Pre	Post	40.92	DOWN	3.45	0.426127	
XLOC_003930	-	Pre	Post	40.57	DOWN	2.36	0.381969	
XLOC_018554	-	Pre	Post	40.06	DOWN	486.36	0.474714	
XLOC_012360	-	Pre	Post	39.93	UP	11.85	0.687671	
XLOC_001920	-	Pre	Post	39.36	DOWN	1.25	0.381969	
XLOC_001787	CGI_10020786	Pre	Post	39.34	UP	7.61	0.614058	
XLOC_029737	-	Pre	Post	39.29	DOWN	3.09	0.383221	
CGI_10026703	.	Pre	Post	39.07	UP	3569.32	0.00215	
XLOC_008212	-	Pre	Post	39.03	DOWN	25.70	0.474714	
XLOC_019906	-	Pre	Post	38.91	UP	303.43	0.414692	
XLOC_032702	-	Pre	Post	38.91	UP	5.77	0.373647	
XLOC_003928	-	Pre	Post	38.74	UP	6.76	0.414661	
XLOC_016074	-	Pre	Post	38.68	UP	34.58	0.377597	
CGI_10002871	.	Pre	Post	38.62	UP	22.20	0.410336	
XLOC_022115	-	Pre	Post	38.55	UP	7.69	0.00382598	
XLOC_007578	-	Pre	Post	38.40	DOWN	4.61	0.383212	
XLOC_029424	CGI_10021003	Pre	Post	38.27	DOWN	8.28	0.517999	
XLOC_024165	-	Pre	Post	37.89	DOWN	42.23	0.0290306	
CGI_10005738	.	Pre	Post	37.73	UP	6.44	0.699616	
XLOC_023658	-	Pre	Post	37.72	UP	3.60	0.55389	
CGI_10012422	.	Pre	Post	37.55	UP	5.08	0.457267	
CGI_10014170	.	Pre	Post	37.04	DOWN	129.72	0.00215	
CGI_10002484	.	Pre	Post	36.91	UP	1.49	0.377562	
CGI_10008839	.	Pre	Post	36.87	DOWN	16.28	0.656225	
XLOC_021138	CGI_10003417	Pre	Post	36.81	UP	84.83	0.00215	
XLOC_006972	-	Pre	Post	36.69	UP	10.86	0.158414	
XLOC_024733	-	Pre	Post	36.51	DOWN	5.07	0.0310111	
CGI_10009556	.	Pre	Post	36.27	UP	2.75	0.522787	
XLOC_004853	-	Pre	Post	35.92	DOWN	2.60	0.383149	
CGI_10002314	.	Pre	Post	35.91	DOWN	6.29	0.427152	
XLOC_030972	-	Pre	Post	35.65	DOWN	1.79	0.385115	
XLOC_008408	-	Pre	Post	35.38	UP	37.83	0.37976	
XLOC_027832	-	Pre	Post	35.22	DOWN	10.61	0.449482	
XLOC_032362	-	Pre	Post	35.13	DOWN	108.90	0.00382598	
XLOC_021970	-	Pre	Post	35.05	DOWN	1.68	0.381969	
XLOC_033420	CGI_10024433	Pre	Post	34.87	DOWN	1.42	0.349564	
XLOC_003606	-	Pre	Post	34.79	DOWN	3.45	0.510475	
XLOC_026710	-	Pre	Post	34.69	DOWN	13.91	0.757497	
CGI_10007555	.	Pre	Post	34.62	DOWN	30.17	0.0382406	
CGI_10014035	.	Pre	Post	34.48	DOWN	3.34	0.683861	
XLOC_016570	-	Pre	Post	34.48	DOWN	3.46	0.382295	
XLOC_035559	CGI_10027653	Pre	Post	34.45	UP	3170.13	0.587901	
CGI_10010566	.	Pre	Post	33.90	DOWN	34.25	0.00215	
XLOC_016289	-	Pre	Post	33.84	DOWN	2.08	0.642378	
XLOC_031964	-	Pre	Post	33.36	UP	4.89	0.382276	
XLOC_022324	-	Pre	Post	33.04	DOWN	2.88	0.515359	
CGI_10025571	.	Pre	Post	32.92	DOWN	19.18	0.109629	
CGI_10005421	.	Pre	Post	32.70	DOWN	236.82	0.00215	
XLOC_015259	-	Pre	Post	32.68	DOWN	26.71	0.386343	
XLOC_026910	CGI_10014616	Pre	Post	32.25	UP	13.59	0.50723	
XLOC_016055	CGI_10017238	Pre	Post	32.16	DOWN	3.37	0.536319	
XLOC_025620	-	Pre	Post	32.14	UP	30.30	0.59137	
XLOC_019391	-	Pre	Post	31.91	DOWN	7.58	0.343645	
XLOC_034854	-	Pre	Post	31.89	UP	3.46	0.443983	
XLOC_008900	-	Pre	Post	31.78	DOWN	1.29	0.609578	
XLOC_026444	-	Pre	Post	31.77	DOWN	1.82	0.725884	
CGI_10014341	.	Pre	Post	31.68	DOWN	8.03	0.534417	
CGI_10025138	.	Pre	Post	31.66	UP	2.11	0.482881	
CGI_10012971	.	Pre	Post	31.41	UP	1.88	0.717761	
XLOC_008480	CGI_10013256	Pre	Post	31.41	DOWN	17.41	0.372256	
XLOC_010104	-	Pre	Post	31.35	UP	3.81	0.701242	
XLOC_028552	-	Pre	Post	31.00	DOWN	2830.35	0.00215	
XLOC_035297	-	Pre	Post	30.80	DOWN	1.49	0.383221	
XLOC_035638	-	Pre	Post	30.80	UP	3.74	0.416259	
XLOC_000077	-	Pre	Post	30.73	UP	13.48	0.414413	
XLOC_001802	-	Pre	Post	30.54	DOWN	3.95	0.517999	
XLOC_033326	-	Pre	Post	30.34	DOWN	5.20	0.382969	
XLOC_033259	-	Pre	Post	30.32	UP	3.06	0.430904	
CGI_10024729	.	Pre	Post	30.18	DOWN	2.36	0.534889	
XLOC_005540	-	Pre	Post	30.06	UP	36.68	0.0990824	
XLOC_028310	ALODH1	Pre	Post	30.00	UP	32.76	0.643863	
CGI_10016195	.	Pre	Post	29.94	DOWN	5.48	0.382032	
XLOC_026064	-	Pre	Post	29.91	UP	2.89	0.416259	
CGI_10001977	.	Pre	Post	29.86	DOWN	5.08	0.715025	
CGI_10004927	.	Pre	Post	29.78	DOWN	2.89	0.496489	
XLOC_011377	-	Pre	Post	29.69	UP	5.42	0.672373	
CGI_10014343	.	Pre	Post	29.50	DOWN	3226.38	0.00215	
XLOC_034244	CGI_10020714	Pre	Post	29.42	UP	2.16	0.554751	
CGI_10008272	.	Pre	Post	29.38	UP	5.62	0.381872	
XLOC_030388	-	Pre	Post	29.28	DOWN	9.77	0.384541	
XLOC_023071	-	Pre	Post	29.27	UP	2.30	0.380632	
XLOC_018888	-	Pre	Post	29.24	UP	143.43	0.414315	
XLOC_019997	-	Pre	Post	29.12	UP	2.26	0.507539	
XLOC_027875	-	Pre	Post	28.93	UP	5.38	0.37847	
XLOC_035971	-	Pre	Post	28.92	UP	5.46	0.517999	
XLOC_030704	-	Pre	Post	28.87	DOWN	1.80	0.474714	
CGI_10027395	.	Pre	Post	28.65	UP	59.86	0.00215	
XLOC_033108	-	Pre	Post	28.62	UP	3.04	0.518712	
CGI_10010968	.	Pre	Post	28.45	DOWN	1.51	0.579012	
XLOC_025190	-	Pre	Post	28.42	UP	12.65	0.431368	
XLOC_022602	-	Pre	Post	28.35	UP	5.40	0.0716286	
CGI_10001193	.	Pre	Post	28.33	UP	1.32	0.417133	
XLOC_032061	-	Pre	Post	28.21	UP	2.25	0.44411	
XLOC_016694	-	Pre	Post	28.06	UP	5.18	0.209225	
XLOC_016630	-	Pre	Post	27.96	DOWN	229.70	0.370596	
XLOC_003982	-	Pre	Post	27.92	DOWN	3.89	0.357182	
XLOC_002488	-	Pre	Post	27.91	DOWN	39.20	0.291558	
CGI_10010933	.	Pre	Post	27.84	UP	21.30	0.0482682	
XLOC_022809	-	Pre	Post	27.80	UP	4.77	0.385584	
EMCGIG00000001333	7SK	Pre	Post	27.73	UP	107.22	0.536347	
XLOC_029629	-	Pre	Post	27.49	UP	4.06	0.431598	
XLOC_002021	-	Pre	Post	27.45	UP	3.79	0.744155	
XLOC_001282	-	Pre	Post	27.34	UP	7.40	0.380696	
XLOC_011792	-	Pre	Post	27.28	DOWN	3.70	0.634036	
CGI_10022061	.	Pre	Post	27.22	UP	21.19	0.291585	
XLOC_024531	-	Pre	Post	27.05	DOWN	3.58	0.633603	
XLOC_024199	-	Pre	Post	26.87	UP	10.20	0.476133	
XLOC_022010	-	Pre	Post	26.80	UP	71.84	0.444147	
CGI_10007812	.	Pre	Post	26.79	UP	1.03	0.57556	
CGI_10025175	.	Pre	Post	26.77	DOWN	32.73	0.451786	
XLOC_002275	-	Pre	Post	26.71	UP	2.74	0.417727	
XLOC_002240	CGI_10028465	Pre	Post	26.67	UP	6.81	0.559084	
XLOC_010188	-	Pre	Post	26.63	DOWN	94.35	0.00215	
XLOC_018844	-	Pre	Post	26.58	DOWN	29.26	0.0655953	
XLOC_001486	-	Pre	Post	26.53	UP	121.00	0.432378	
CGI_10016363	.	Pre	Post	26.52	DOWN	204.41	0.00215	
XLOC_027247	-	Pre	Post	26.46	DOWN	4302.28	0.00215	
XLOC_000270	-	Pre	Post	26.40	UP	67.27	0.133326	
CGI_10007261	.	Pre	Post	26.36	UP	253.09	0.0131324	
CGI_10001592	.	Pre	Post	26.34	UP	368.69	0.00215	
CGI_10023200	.	Pre	Post	26.20	DOWN	11.31	0.336686	
CGI_10017368	.	Pre	Post	26.11	UP	14.11	0.500532	
XLOC_007232	-	Pre	Post	26.09	UP	2.64	0.573174	
CGI_10000264	.	Pre	Post	25.94	UP	3.07	0.693798	
XLOC_008509	-	Pre	Post	25.94	UP	17.94	0.419239	
XLOC_000333	-	Pre	Post	25.87	UP	12.86	0.415185	
XLOC_016941	-	Pre	Post	25.86	UP	1.86	0.416956	
XLOC_023156	-	Pre	Post	25.80	UP	2.43	0.431556	
CGI_10015934	.	Pre	Post	25.72	DOWN	56.41	0.00535132	
XLOC_020139	-	Pre	Post	25.61	UP	11.81	0.518227	
XLOC_029118	-	Pre	Post	25.58	UP	2.24	0.476216	
CGI_10019361	.	Pre	Post	25.36	DOWN	87.87	0.00215	
CGI_10021356	.	Pre	Post	25.29	UP	1.41	0.415185	
XLOC_035301	-	Pre	Post	25.29	DOWN	579.17	0.555747	
CGI_10026316	.	Pre	Post	25.21	DOWN	1458.35	0.00215	
XLOC_020097	CGI_10002636	Pre	Post	25.08	UP	11.22	0.284775	
XLOC_027831	-	Pre	Post	24.86	DOWN	8.91	0.51031	
CGI_10008745	.	Pre	Post	24.84	DOWN	3.69	0.558592	
XLOC_001362	-	Pre	Post	24.81	UP	3.95	0.417176	
CGI_10018640	.	Pre	Post	24.75	DOWN	3.31	0.49072	
CGI_10012334	.	Pre	Post	24.61	UP	10.96	0.0158076	
XLOC_010441	-	Pre	Post	24.43	DOWN	118.62	0.385053	
XLOC_016217	-	Pre	Post	24.43	UP	3.49	0.444887	
CGI_10003768	.	Pre	Post	24.32	DOWN	3.20	0.691443	
XLOC_024585	-	Pre	Post	24.32	UP	59.43	0.420288	
XLOC_018493	-	Pre	Post	24.27	DOWN	5.23	0.442944	
CGI_10021003	.	Pre	Post	24.16	DOWN	91.67	0.00215	
XLOC_019343	-	Pre	Post	23.89	UP	4.14	0.388907	
XLOC_029123	-	Pre	Post	23.78	UP	9.09	0.24035	
XLOC_011157	-	Pre	Post	23.77	DOWN	3.64	0.386404	
XLOC_024908	-	Pre	Post	23.75	UP	3.14	0.432462	
XLOC_026674	CGI_10013056	Pre	Post	23.73	UP	11.46	0.58722	
XLOC_028257	-	Pre	Post	23.69	UP	55.76	0.476743	
XLOC_004453	-	Pre	Post	23.50	DOWN	15.44	0.38658	
CGI_10011342	.	Pre	Post	23.41	UP	74.60	0.0110432	
CGI_10016364	.	Pre	Post	23.32	DOWN	82.97	0.00215	
CGI_10000009	.	Pre	Post	23.25	UP	602.33	0.00215	
XLOC_028997	-	Pre	Post	23.15	DOWN	2.00	0.580058	
XLOC_022823	-	Pre	Post	23.10	DOWN	17.10	0.00215	
CGI_10017107	.	Pre	Post	23.03	DOWN	1007.24	0.00535132	
XLOC_010311	-	Pre	Post	23.01	UP	1.37	0.519034	
XLOC_030967	-	Pre	Post	22.99	UP	4.03	0.572963	
CGI_10023094	.	Pre	Post	22.89	DOWN	230.11	0.00215	
XLOC_013833	-	Pre	Post	22.89	DOWN	5.37	0.474714	
XLOC_027083	CGI_10015587	Pre	Post	22.88	UP	1.50	0.653202	
XLOC_028590	-	Pre	Post	22.85	UP	1.81	0.446942	
XLOC_001512	CGI_10001432	Pre	Post	22.75	DOWN	381.90	0.00215	
XLOC_003378	-	Pre	Post	22.74	UP	7.52	0.636098	
XLOC_003987	-	Pre	Post	22.74	UP	16.82	0.43696	
CGI_10022103	.	Pre	Post	22.67	UP	4.85	0.155405	
CGI_10013180	.	Pre	Post	22.65	DOWN	1.14	0.375902	
XLOC_021471	-	Pre	Post	22.61	UP	2.04	0.673169	
XLOC_013249	-	Pre	Post	22.54	UP	3.29	0.431921	
XLOC_013319	-	Pre	Post	22.54	DOWN	6.05	0.697419	
CGI_10026847	.	Pre	Post	22.53	DOWN	81.66	0.465896	
CGI_10014381	.	Pre	Post	22.51	DOWN	169.94	0.00215	
CGI_10003908	.	Pre	Post	22.50	UP	22.11	0.228531	
XLOC_018155	-	Pre	Post	22.46	DOWN	3.85	0.343645	
XLOC_018138	-	Pre	Post	22.44	UP	16.94	0.518227	
XLOC_014079	-	Pre	Post	22.42	UP	5.13	0.139952	
CGI_10009981	.	Pre	Post	22.35	DOWN	106.72	0.00215	
XLOC_030568	-	Pre	Post	22.23	UP	27.58	0.639137	
XLOC_021626	-	Pre	Post	22.10	DOWN	1.59	0.486443	
XLOC_024491	-	Pre	Post	22.09	UP	1.94	0.418304	
XLOC_000204	-	Pre	Post	22.06	UP	4.19	0.444325	
XLOC_010041	-	Pre	Post	22.02	DOWN	1.39	0.486443	
CGI_10003099	.	Pre	Post	22.00	DOWN	9.17	0.482177	
XLOC_014875	-	Pre	Post	22.00	DOWN	5.32	0.515555	
XLOC_010322	CGI_10013047	Pre	Post	21.96	UP	18.97	0.549008	
CGI_10025936	.	Pre	Post	21.91	UP	10.35	0.415387	
XLOC_000584	-	Pre	Post	21.79	UP	2.87	0.476974	
XLOC_034079	-	Pre	Post	21.79	DOWN	2.72	0.389627	
XLOC_032405	-	Pre	Post	21.71	DOWN	4.18	0.0701163	
CGI_10013253	.	Pre	Post	21.68	UP	3.04	0.197121	
CGI_10014299	.	Pre	Post	21.62	UP	3.34	0.323593	
CGI_10000296	.	Pre	Post	21.59	DOWN	6.65	0.677423	
XLOC_017758	-	Pre	Post	21.54	DOWN	12.29	0.448897	
XLOC_024785	CGI_10008036	Pre	Post	21.36	DOWN	16.52	0.572811	
XLOC_000031	-	Pre	Post	21.28	UP	77.46	0.39668	
XLOC_032013	-	Pre	Post	21.28	DOWN	164.41	0.474714	
XLOC_024067	-	Pre	Post	21.17	DOWN	5.03	0.555058	
XLOC_015780	-	Pre	Post	21.16	DOWN	10.71	0.486789	
XLOC_011587	-	Pre	Post	21.14	DOWN	7.00	0.29579	
CGI_10010255	.	Pre	Post	21.11	UP	24.71	0.00215	
XLOC_029734	-	Pre	Post	21.08	DOWN	12.27	0.398121	
CGI_10019290	.	Pre	Post	21.06	DOWN	8.26	0.0613446	
XLOC_020481	-	Pre	Post	21.02	UP	153.76	0.331022	
CGI_10012856	.	Pre	Post	21.00	UP	1.76	0.504899	
XLOC_023090	-	Pre	Post	20.99	UP	3.18	0.421698	
XLOC_007904	-	Pre	Post	20.97	UP	3.64	0.587233	
XLOC_019081	-	Pre	Post	20.97	UP	5.31	0.491342	
CGI_10012934	.	Pre	Post	20.95	UP	55.02	0.014125	
XLOC_008647	CGI_10012084	Pre	Post	20.93	UP	93.20	0.453715	
CGI_10015943	.	Pre	Post	20.86	UP	8.93	0.382655	
CGI_10022071	.	Pre	Post	20.86	DOWN	128.58	0.00215	
XLOC_006695	-	Pre	Post	20.84	UP	3.15	0.519196	
XLOC_007905	-	Pre	Post	20.80	DOWN	2.21	0.197121	
CGI_10001573	.	Pre	Post	20.79	DOWN	475.03	0.00215	
CGI_10025193	.	Pre	Post	20.78	UP	1.06	0.496621	
XLOC_004697	-	Pre	Post	20.78	DOWN	14.09	0.511063	
XLOC_011795	-	Pre	Post	20.72	DOWN	14.44	0.00215	
XLOC_026874	-	Pre	Post	20.72	UP	19.52	0.419093	
CGI_10028599	.	Pre	Post	20.66	UP	7.25	0.0697234	
XLOC_011689	-	Pre	Post	20.61	UP	19.08	0.432056	
CGI_10002353	.	Pre	Post	20.54	UP	2.59	0.529624	
CGI_10023092	.	Pre	Post	20.54	DOWN	2.64	0.515812	
XLOC_024641	-	Pre	Post	20.49	DOWN	3.22	0.515812	
CGI_10027593	.	Pre	Post	20.47	UP	11.94	0.295677	
XLOC_025571	CGI_10009633	Pre	Post	20.47	DOWN	6842.10	0.661519	
XLOC_015460	-	Pre	Post	20.46	DOWN	6.77	0.442944	
CGI_10006887	.	Pre	Post	20.43	UP	3.84	0.373986	
CGI_10001131	.	Pre	Post	20.42	UP	125.42	0.663806	
XLOC_001966	-	Pre	Post	20.35	UP	223.56	0.518888	
XLOC_006832	-	Pre	Post	20.34	DOWN	15.94	0.404438	
XLOC_018415	-	Pre	Post	20.30	DOWN	18.94	0.0249538	
XLOC_018236	-	Pre	Post	20.29	DOWN	9.75	0.665693	
CGI_10012787	.	Pre	Post	20.25	DOWN	130.00	0.00215	
XLOC_006739	-	Pre	Post	20.25	UP	3.31	0.509713	
XLOC_029177	-	Pre	Post	20.21	DOWN	2.35	0.389747	
XLOC_016762	-	Pre	Post	20.20	UP	3.31	0.522136	
XLOC_019749	-	Pre	Post	20.19	UP	7.21	0.571894	
XLOC_025335	-	Pre	Post	20.19	UP	44.47	0.359613	
XLOC_001272	-	Pre	Post	19.95	UP	3.95	0.421155	
