gene_id	gene_name	sample1	sample2	fold_change	direction	total_fpkm	q-value	gene_description
XLOC_005307	CGI_10006806	Pre	Post	1672425.70	UP	5.86	0.479741	
XLOC_019715	CGI_10002355	Pre	Post	250968.33	UP	2.02	0.732224	
XLOC_009722	-	Pre	Post	99057.42	UP	2.46	0.550606	
XLOC_031440	-	Pre	Post	49867.70	UP	2.01	0.650886	
CGI_10007533	.	Pre	Post	47551.60	UP	10.32	0.58739	
CGI_10025197	.	Pre	Post	14670.05	DOWN	2.01	0.579219	
XLOC_014951	CGI_10015236	Pre	Post	8342.52	UP	0.95	0.636785	
XLOC_008697	CGI_10028588	Pre	Post	3892.07	DOWN	1.66	0.480611	
CGI_10003067	.	Pre	Post	2505.09	DOWN	2.00	0.638773	
CGI_10028583	.	Pre	Post	1806.91	UP	218.20	0.527611	
CGI_10013941	.	Pre	Post	1783.06	DOWN	1.06	0.732884	
XLOC_019270	CGI_10002011	Pre	Post	1636.94	UP	81.88	0.533701	
CGI_10004018	.	Pre	Post	1587.62	UP	1043.76	0.447394	
CGI_10009990	.	Pre	Post	1372.15	DOWN	2.36	0.729823	
XLOC_005429	CGI_10016982	Pre	Post	1135.32	UP	3.74	0.547077	
CGI_10020255	.	Pre	Post	855.67	UP	47.22	0.338473	
XLOC_000166	-	Pre	Post	827.82	UP	8789.78	0.410336	
XLOC_001977	CGI_10020255	Pre	Post	732.18	UP	36.46	0.623958	
CGI_10003712	.	Pre	Post	577.53	DOWN	876.00	0.529011	
CGI_10016061	.	Pre	Post	532.11	UP	2.43	0.448451	
XLOC_020121	-	Pre	Post	489.99	DOWN	18.43	0.50723	
XLOC_020319	-	Pre	Post	435.77	DOWN	319.39	0.123937	
XLOC_010527	-	Pre	Post	372.44	UP	16.18	0.377352	
CGI_10012008	.	Pre	Post	340.49	UP	24.65	0.491531	
CGI_10021110	.	Pre	Post	335.18	UP	1.06	0.551563	
XLOC_013451	CGI_10016656	Pre	Post	320.81	UP	2.55	0.66609	
XLOC_010227	-	Pre	Post	298.42	DOWN	217.48	0.444363	
XLOC_003768	HSP70	Pre	Post	280.15	UP	1936.97	0.00215	
XLOC_012684	-	Pre	Post	271.97	UP	75.43	0.502651	
XLOC_032537	-	Pre	Post	260.76	DOWN	2614.87	0.00215	
XLOC_031588	-	Pre	Post	256.65	DOWN	233.99	0.187428	
CGI_10020701	.	Pre	Post	239.05	DOWN	4568.52	0.00215	
XLOC_000404	-	Pre	Post	235.23	UP	118.13	0.443983	
XLOC_003653	-	Pre	Post	233.17	DOWN	146.07	0.474714	
CGI_10002594	.	Pre	Post	224.07	UP	2390.25	0.00215	
XLOC_028836	-	Pre	Post	195.74	DOWN	148.81	0.474714	
CGI_10000185	.	Pre	Post	190.87	UP	29.90	0.475803	
XLOC_003774	CGI_10010646	Pre	Post	181.01	UP	1818.52	0.00215	
CGI_10018592	.	Pre	Post	178.26	DOWN	6.06	0.503542	
CGI_10002355	.	Pre	Post	171.82	UP	57.20	0.534889	
XLOC_019363	-	Pre	Post	163.56	UP	23.32	0.429494	
XLOC_011586	-	Pre	Post	159.06	DOWN	11.86	0.381969	
CGI_10001448	.	Pre	Post	157.19	DOWN	43.62	0.748144	
XLOC_032785	HSP68	Pre	Post	155.89	UP	373.66	0.00215	
XLOC_028835	-	Pre	Post	153.92	DOWN	6.07	0.381969	
XLOC_025530	-	Pre	Post	136.10	DOWN	2.87	0.565405	
XLOC_033734	-	Pre	Post	130.94	UP	18.07	0.414315	
XLOC_007497	CGI_10017118	Pre	Post	129.83	UP	1.50	0.634036	
CGI_10015171	.	Pre	Post	125.96	UP	2.51	0.48238	
XLOC_015275	CGI_10011376	Pre	Post	122.85	UP	418.73	0.0228219	
CGI_10001496	.	Pre	Post	119.83	DOWN	1450.68	0.00215	
XLOC_029739	-	Pre	Post	119.34	DOWN	5.58	0.200816	
CGI_10024901	.	Pre	Post	118.31	UP	2.26	0.510121	
CGI_10022128	.	Pre	Post	118.12	UP	1.87	0.377352	
XLOC_003065	-	Pre	Post	110.01	UP	2.65	0.538221	
XLOC_021859	CGI_10004112	Pre	Post	109.83	DOWN	3.56	0.631803	
XLOC_015549	-	Pre	Post	106.31	DOWN	6.84	0.515359	
XLOC_015281	-	Pre	Post	105.58	DOWN	132.28	0.381969	
XLOC_015779	-	Pre	Post	104.66	DOWN	51.54	0.381969	
XLOC_017466	-	Pre	Post	103.01	DOWN	15.74	0.381969	
CGI_10001197	.	Pre	Post	101.49	UP	21.42	0.429494	
CGI_10011376	.	Pre	Post	97.71	UP	528.85	0.00215	
XLOC_000259	-	Pre	Post	96.11	UP	2378.57	0.401429	
XLOC_025381	CGI_10009257	Pre	Post	94.82	UP	495.67	0.55162	
CGI_10018815	.	Pre	Post	94.75	UP	7.60	0.429494	
CGI_10028094	.	Pre	Post	84.98	DOWN	3.25	0.497672	
XLOC_020593	-	Pre	Post	84.64	DOWN	19.07	0.343645	
CGI_10004166	.	Pre	Post	84.56	UP	177.82	0.591263	
XLOC_024532	-	Pre	Post	84.35	DOWN	2.39	0.551156	
CGI_10010393	.	Pre	Post	84.09	UP	50.29	0.00215	
XLOC_025151	CGI_10008680	Pre	Post	82.59	DOWN	8.65	0.704762	
CGI_10020140	.	Pre	Post	81.75	UP	5.54	0.476078	
XLOC_013157	-	Pre	Post	81.48	UP	74.14	0.429494	
CGI_10002411	.	Pre	Post	79.77	UP	55.97	0.461576	
XLOC_014178	-	Pre	Post	79.44	UP	3.65	0.377352	
XLOC_024529	-	Pre	Post	78.80	DOWN	5.35	0.527149	
XLOC_022114	-	Pre	Post	77.81	UP	3.77	0.414315	
