gene_id	gene_name	sample1	sample2	fold_change	direction	total_fpkm	q-value	gene_description
XLOC_003768	HSP70	Pre	Post	280.15	UP	1936.97	0.00215	
XLOC_032537	-	Pre	Post	260.76	DOWN	2614.87	0.00215	
CGI_10020701	.	Pre	Post	239.05	DOWN	4568.52	0.00215	
CGI_10002594	.	Pre	Post	224.07	UP	2390.25	0.00215	
XLOC_003774	CGI_10010646	Pre	Post	181.01	UP	1818.52	0.00215	
XLOC_032785	HSP68	Pre	Post	155.89	UP	373.66	0.00215	
XLOC_015275	CGI_10011376	Pre	Post	122.85	UP	418.73	0.0228219	
CGI_10001496	.	Pre	Post	119.83	DOWN	1450.68	0.00215	
CGI_10011376	.	Pre	Post	97.71	UP	528.85	0.00215	
CGI_10010393	.	Pre	Post	84.09	UP	50.29	0.00215	
CGI_10001497	.	Pre	Post	77.42	DOWN	1788.70	0.00215	
XLOC_023037	-	Pre	Post	76.78	UP	17.45	0.0341942	
CGI_10005650	.	Pre	Post	67.71	DOWN	197.08	0.00215	
CGI_10026803	.	Pre	Post	63.02	UP	262.34	0.00215	
CGI_10017043	.	Pre	Post	57.73	UP	653.08	0.00215	
EMCGIG00000000270	ACEA_U3	Pre	Post	50.13	UP	580.58	0.0352832	
CGI_10003924	.	Pre	Post	50.08	UP	9.57	0.0131324	
CGI_10002529	.	Pre	Post	46.82	UP	3271.48	0.0199867	
CGI_10003613	.	Pre	Post	45.97	UP	20.48	0.0149661	
CGI_10014928	.	Pre	Post	43.58	DOWN	44.51	0.00215	
CGI_10019606	.	Pre	Post	41.51	DOWN	5143.24	0.00215	
CGI_10026703	.	Pre	Post	39.07	UP	3569.32	0.00215	
XLOC_022115	-	Pre	Post	38.55	UP	7.69	0.00382598	
XLOC_024165	-	Pre	Post	37.89	DOWN	42.23	0.0290306	
CGI_10014170	.	Pre	Post	37.04	DOWN	129.72	0.00215	
XLOC_021138	CGI_10003417	Pre	Post	36.81	UP	84.83	0.00215	
XLOC_024733	-	Pre	Post	36.51	DOWN	5.07	0.0310111	
XLOC_032362	-	Pre	Post	35.13	DOWN	108.90	0.00382598	
CGI_10007555	.	Pre	Post	34.62	DOWN	30.17	0.0382406	
CGI_10010566	.	Pre	Post	33.90	DOWN	34.25	0.00215	
CGI_10005421	.	Pre	Post	32.70	DOWN	236.82	0.00215	
XLOC_028552	-	Pre	Post	31.00	DOWN	2830.35	0.00215	
CGI_10014343	.	Pre	Post	29.50	DOWN	3226.38	0.00215	
CGI_10027395	.	Pre	Post	28.65	UP	59.86	0.00215	
CGI_10010933	.	Pre	Post	27.84	UP	21.30	0.0482682	
XLOC_010188	-	Pre	Post	26.63	DOWN	94.35	0.00215	
CGI_10016363	.	Pre	Post	26.52	DOWN	204.41	0.00215	
XLOC_027247	-	Pre	Post	26.46	DOWN	4302.28	0.00215	
CGI_10007261	.	Pre	Post	26.36	UP	253.09	0.0131324	
CGI_10001592	.	Pre	Post	26.34	UP	368.69	0.00215	
CGI_10015934	.	Pre	Post	25.72	DOWN	56.41	0.00535132	
CGI_10019361	.	Pre	Post	25.36	DOWN	87.87	0.00215	
CGI_10026316	.	Pre	Post	25.21	DOWN	1458.35	0.00215	
CGI_10012334	.	Pre	Post	24.61	UP	10.96	0.0158076	
CGI_10021003	.	Pre	Post	24.16	DOWN	91.67	0.00215	
CGI_10011342	.	Pre	Post	23.41	UP	74.60	0.0110432	
CGI_10016364	.	Pre	Post	23.32	DOWN	82.97	0.00215	
CGI_10000009	.	Pre	Post	23.25	UP	602.33	0.00215	
XLOC_022823	-	Pre	Post	23.10	DOWN	17.10	0.00215	
CGI_10017107	.	Pre	Post	23.03	DOWN	1007.24	0.00535132	
CGI_10023094	.	Pre	Post	22.89	DOWN	230.11	0.00215	
XLOC_001512	CGI_10001432	Pre	Post	22.75	DOWN	381.90	0.00215	
CGI_10014381	.	Pre	Post	22.51	DOWN	169.94	0.00215	
CGI_10009981	.	Pre	Post	22.35	DOWN	106.72	0.00215	
CGI_10010255	.	Pre	Post	21.11	UP	24.71	0.00215	
CGI_10012934	.	Pre	Post	20.95	UP	55.02	0.014125	
CGI_10022071	.	Pre	Post	20.86	DOWN	128.58	0.00215	
CGI_10001573	.	Pre	Post	20.79	DOWN	475.03	0.00215	
XLOC_011795	-	Pre	Post	20.72	DOWN	14.44	0.00215	
XLOC_018415	-	Pre	Post	20.30	DOWN	18.94	0.0249538	
CGI_10012787	.	Pre	Post	20.25	DOWN	130.00	0.00215	
CGI_10022749	.	Pre	Post	19.78	UP	30.99	0.0131324	
CGI_10024895	.	Pre	Post	19.71	UP	8.65	0.0279467	
CGI_10022441	.	Pre	Post	19.67	UP	8.72	0.0228219	
CGI_10002404	.	Pre	Post	19.64	UP	61.47	0.00215	
CGI_10002657	.	Pre	Post	19.41	DOWN	421.45	0.00215	
CGI_10023836	.	Pre	Post	19.38	DOWN	1182.38	0.00215	
XLOC_016620	-	Pre	Post	19.14	DOWN	70.55	0.00666529	
XLOC_009178	-	Pre	Post	18.89	DOWN	181.64	0.0310111	
CGI_10004967	.	Pre	Post	18.88	DOWN	48.78	0.0214053	
CGI_10006587	.	Pre	Post	18.59	DOWN	1.89	0.0249538	
CGI_10026350	.	Pre	Post	18.56	DOWN	172.70	0.00215	
CGI_10013854	.	Pre	Post	18.49	UP	321.86	0.00215	
CGI_10006869	.	Pre	Post	18.47	UP	40.11	0.00215	
CGI_10017684	.	Pre	Post	18.37	UP	1016.11	0.00215	
CGI_10020490	.	Pre	Post	18.21	DOWN	222.07	0.00215	
CGI_10002387	.	Pre	Post	18.19	UP	10.82	0.00535132	
CGI_10026196	.	Pre	Post	17.73	UP	21.02	0.00215	
CGI_10013940	.	Pre	Post	17.66	DOWN	26.89	0.0122017	
CGI_10025140	.	Pre	Post	17.64	DOWN	24.25	0.0274146	
XLOC_024164	CGI_10025980	Pre	Post	17.59	DOWN	83.60	0.0100156	
CGI_10021197	.	Pre	Post	17.34	DOWN	42.84	0.00215	
CGI_10026193	.	Pre	Post	17.29	DOWN	335.65	0.00215	
CGI_10025357	.	Pre	Post	16.92	UP	20.31	0.00215	
XLOC_002552	-	Pre	Post	16.87	DOWN	204.88	0.00215	
XLOC_032671	-	Pre	Post	16.68	UP	28.23	0.0206627	
CGI_10014927	.	Pre	Post	16.58	DOWN	40.93	0.00215	
XLOC_017805	-	Pre	Post	16.33	DOWN	19.80	0.00215	
XLOC_033774	-	Pre	Post	16.26	UP	10.60	0.0214053	
CGI_10016291	.	Pre	Post	15.97	DOWN	60.92	0.00215	
XLOC_032784	-	Pre	Post	15.90	UP	14.66	0.00215	
XLOC_020476	CGI_10002949	Pre	Post	15.81	UP	2615.00	0.00215	
CGI_10017349	.	Pre	Post	15.74	DOWN	88.99	0.00215	
CGI_10006412	.	Pre	Post	15.72	DOWN	44.98	0.00215	
XLOC_028796	-	Pre	Post	15.68	DOWN	4.10	0.0414297	
XLOC_020203	-	Pre	Post	15.67	DOWN	174.91	0.00215	
CGI_10020906	.	Pre	Post	15.65	DOWN	129.64	0.00215	
CGI_10016594	.	Pre	Post	15.62	DOWN	72.14	0.00666529	
CGI_10012155	.	Pre	Post	15.59	DOWN	17.84	0.00215	
CGI_10026868	.	Pre	Post	15.48	UP	2134.10	0.00215	
CGI_10000167	.	Pre	Post	15.42	DOWN	65.37	0.0131324	
CGI_10000947	.	Pre	Post	15.42	DOWN	298.64	0.00215	
CGI_10020607	.	Pre	Post	15.41	DOWN	309.33	0.00215	
CGI_10023473	.	Pre	Post	15.41	UP	342.51	0.00215	
CGI_10020246	.	Pre	Post	15.35	DOWN	79.18	0.00215	
CGI_10016091	.	Pre	Post	15.00	UP	8.99	0.0290306	
CGI_10025222	.	Pre	Post	14.84	DOWN	184.97	0.00215	
XLOC_015524	-	Pre	Post	14.81	UP	306.96	0.00215	
XLOC_022524	-	Pre	Post	14.80	DOWN	41.94	0.0228219	
CGI_10027000	.	Pre	Post	14.79	UP	8.60	0.0487647	
CGI_10017559	.	Pre	Post	14.71	UP	10.21	0.00215	
